Sex;ID;Age;CaptivityWild;Height;Chest Girth;Neck Circumference;Length;Weight;Foot size
2;BR;54;a;173;257;NA;157;1101;89
2;BR;53;a;175;254;NA;155;1052;81
2;BR;56;a;175;254;NA;157;1106;81
2;BR;56;a;175;254;NA;163;1037;81
2;BR;57;a;175;274;NA;165;1156;84
2;BR;59;a;180;257;NA;178;1123;89
2;BR;59;a;180;264;NA;170;1198;81
2;BS;292;a;213;320;NA;NA;2154;NA
2;BS;264;a;221;279;NA;196;2086;104
1;BT;270;a;216;279;NA;206;1819;97
1;BU;268;a;206;290;NA;206;1887;104
2;BV;289;a;226;351;NA;NA;2638;NA
1;BW;291;a;217;325;NA;NA;2303;NA
1;BX;264;a;221;312;NA;221;1974;114
2;BY;261;a;226;335;NA;224;2544;117
2;BZ;647;b;241;363;NA;236;3086;127
1;CA;597;b;209;308;200;279;1975;107
1;CA;594;b;210;299;187;NA;1902;108
1;CA;587;b;211;284;180;208;1765;NA
1;CA;594;b;213;300;190;270;1935;107
1;CA;597;b;215;300;199;276;1975;100
2;CB;598;a;251;351;NA;269;3528;142
2;CC;78;a;168;282;NA;188;1482;97
2;CC;63;a;178;257;NA;175;1186;91
2;CC;64;a;178;272;NA;168;1182;91
2;CC;68;a;180;257;NA;175;1248;94
2;CC;74;a;180;259;NA;168;1337;99
2;CC;66;a;180;264;NA;183;1235;91
2;CC;69;a;180;267;NA;170;1203;86
2;CC;73;a;180;272;NA;168;1242;89
2;CC;76;a;180;279;NA;185;1382;99
2;CC;71;a;183;262;NA;175;1192;94
2;CC;72;a;183;264;NA;196;1231;97
2;CC;64;a;183;267;NA;173;1245;89
2;CC;77;a;183;274;NA;178;1289;99
2;CC;70;a;185;262;NA;178;1203;91
2;CC;75;a;188;274;NA;175;1272;94
2;CC;79;a;188;277;NA;180;1268;99
2;CD;48;a;152;232;140;NA;816;NA
2;CD;44;a;155;210;170;157;851;82
2;CD;52;a;157;240;145;NA;981;81
2;CD;49;a;158;220;142;NA;831;NA
2;CD;50;a;158;230;141;NA;856;81
2;CD;54;a;158;231;140;NA;907;80
2;CD;51;a;158;231;143;NA;863;83
2;CD;58;a;162;250;151;NA;1026;82
2;CD;59;a;166;238;151;NA;997;85
2;CD;47;a;NA;225;140;NA;835;NA
2;CD;57;a;NA;255;165;NA;1206;85
2;CD;46;a;NA;NA;NA;157;820;NA
2;CE;57;a;183;267;NA;170;1135;89
2;CE;58;a;183;269;NA;170;1178;89
2;CE;59;a;185;274;NA;168;1218;86
2;CE;60;a;185;274;NA;168;1194;91
2;CE;63;a;188;269;NA;183;1447;97
2;CE;62;a;188;274;NA;173;1307;91
2;CE;64;a;188;279;NA;175;1268;91
2;CE;61;a;188;287;NA;191;1224;97
2;CE;65;a;191;292;NA;180;1372;91
2;CE;67;a;193;279;NA;185;1308;91
2;CE;68;a;193;282;NA;185;1352;94
2;CE;66;a;196;297;NA;201;1352;91
1;CF;590;a;224;342;NA;244;2541;117
2;CG;375;a;232;342;NA;338;2250;109
2;CG;376;a;236;342;NA;333;2750;109
2;CG;382;a;236;343;NA;333;2395;109
2;CG;380;a;236;347;NA;333;2734;109
2;CG;377;a;236;348;NA;333;2840;109
2;CG;381;a;236;349;NA;333;2740;109
2;CG;383;a;237;352;NA;333;2798;110
1;CH;399;a;218;335;NA;234;2414;102
1;CH;391;a;221;328;NA;226;2370;112
1;CH;400;a;221;330;NA;229;2447;107
1;CH;394;a;221;335;NA;226;2418;107
1;CH;395;a;221;335;NA;226;2418;107
1;CH;390;a;221;335;NA;229;2301;112
1;CH;389;a;221;340;NA;229;2388;112
1;CH;401;a;221;340;NA;234;2298;109
1;CH;402;a;221;343;NA;226;2423;107
1;CH;383;a;224;325;NA;224;2450;112
1;CH;380;a;224;328;NA;218;2204;112
1;CH;405;a;224;328;NA;229;2684;114
1;CH;382;a;224;330;NA;224;2362;112
1;CH;385;a;224;333;NA;218;2025;112
1;CH;384;a;224;335;NA;224;2288;112
1;CH;388;a;224;335;NA;236;2395;112
1;CH;403;a;224;340;NA;226;2538;109
1;CH;404;a;224;353;NA;239;2532;107
1;CH;397;a;226;330;NA;224;2336;112
1;CH;398;a;226;343;NA;234;2408;107
1;CH;396;a;229;335;NA;213;2406;109
1;CI;332;a;217;368;NA;NA;3044;NA
1;CJ;304;a;215;330;200;NA;2190;NA
1;CJ;314;a;216;327;200;NA;2142;110
1;CJ;306;a;216;329;200;NA;2199;110
1;CJ;300;a;216;330;188;229;2162;110
1;CJ;299;a;216;330;188;229;2166;110
1;CJ;301;a;216;330;188;229;2213;110
1;CJ;309;a;216;334;205;NA;2343;110
1;CJ;305;a;216;338;204;NA;2202;111
1;CJ;303;a;218;327;194;NA;2171;NA
1;CJ;312;a;218;338;219;NA;2435;114
1;CJ;314;a;219;320;200;NA;2357;115
1;CJ;307;a;223;331;206;NA;2198;111
1;CK;52;a;162;244;137;NA;945;NA
1;CK;53;a;165;240;130;NA;937;NA
1;CK;58;a;165;240;132;NA;950;85
1;CK;48;a;165;240;200;178;960;90
1;CK;54;a;165;242;133;NA;939;85
1;CK;55;a;165;243;133;NA;941;86
1;CK;61;a;165;245;135;NA;945;85
1;CK;56;a;166;251;134;NA;944;84
1;CK;63;a;167;240;130;NA;945;85
1;CK;63;a;169;241;133;NA;963;86
1;CK;50;a;NA;NA;NA;178;918;NA
1;CL;479;b;213;328;NA;211;2210;114
2;CM;599;b;244;378;231;231;3080;NA
2;CM;606;b;247;380;240;303;2890;122
2;CM;609;b;248;383;240;332;3090;122
2;CM;605;b;249;371;236;NA;2920;127
2;CM;610;b;254;390;244;310;3090;142
1;CN;517;a;216;345;NA;244;2942;122
1;CO;754;b;245;346;NA;321;2750;115
1;CO;753;b;245;349;NA;321;2920;115
1;CO;756;b;245;350;NA;321;2930;115
1;CO;749;b;245;355;NA;321;2860;115
1;CO;752;b;245;358;NA;321;2921;115
1;CP;573;b;216;364;227;305;2909;128
1;CP;563;b;218;363;229;231;2979;NA
1;CP;570;b;222;354;216;295;2907;125
1;CP;569;b;224;366;213;NA;2890;127
1;CP;574;b;226;364;210;307;2909;126
2;CQ;700;b;239;351;NA;269;3273;130
2;CQ;699;b;239;356;NA;257;3378;127
2;CQ;706;b;239;356;NA;262;3532;122
2;CQ;704;b;239;361;NA;229;3512;132
2;CQ;705;b;239;366;NA;264;3518;130
2;CQ;701;b;241;345;NA;264;3441;127
2;CQ;700;b;241;356;NA;262;3377;127
2;CQ;691;b;241;358;NA;254;3366;130
2;CQ;708;b;241;361;NA;244;3594;130
2;CQ;692;b;241;361;NA;254;3581;122
2;CQ;698;b;241;361;NA;267;3382;127
2;CQ;693;b;241;366;NA;262;3452;124
2;CQ;685;b;241;371;NA;259;3491;122
2;CQ;697;b;244;353;NA;259;3334;119
2;CQ;707;b;244;356;NA;251;3672;130
2;CQ;688;b;244;358;NA;249;3591;122
2;CQ;683;b;244;358;NA;259;3442;119
2;CQ;686;b;244;361;NA;244;3601;122
2;CQ;686;b;244;368;NA;234;3614;122
2;CQ;703;b;246;340;NA;264;3468;127
2;CQ;695;b;246;366;NA;262;3375;122
2;CR;579;a;220;328;NA;231;2502;122
2;CS;603;b;236;353;NA;260;3033;127
1;CT;625;a;236;349;NA;NA;2520;NA
2;CU;577;a;248;366;NA;246;3087;130
2;CV;748;b;263;370;NA;NA;3687;NA
1;CW;727;b;230;335;208;NA;2543;121
1;CW;729;b;235;330;202;NA;2481;123
1;CW;731;b;235;332;203;NA;2533;120
1;CW;725;b;235;334;206;NA;2620;NA
1;CW;728;b;235;336;207;NA;2545;122
1;CW;723;b;235;337;217;208;2651;123
1;CW;722;b;235;337;217;208;2656;123
1;CW;721;b;235;337;217;208;2700;123
1;CW;719;b;236;340;NA;218;2517;122
1;CW;734;b;237;329;196;NA;2270;121
1;CW;726;b;237;336;209;NA;2579;NA
1;CW;724;b;NA;332;206;NA;2608;NA
2;CX;630;b;233;328;224;313;2494;120
2;CX;623;b;236;325;213;224;2476;NA
2;CX;630;b;241;341;218;NA;2568;124
1;CY;556;a;219;335;220;NA;2594;NA
1;CY;578;a;220;350;NA;NA;2669;NA
1;CY;558;a;221;332;217;NA;2667;120
1;CY;559;a;222;335;218;NA;2690;120
1;CY;566;a;222;336;218;NA;2692;120
1;CY;552;a;222;350;225;234;2253;117
1;CY;554;a;222;350;225;234;2614;117
1;CY;553;a;222;350;225;234;2718;117
1;CY;557;a;223;332;210;NA;2570;NA
1;CY;562;a;223;346;229;NA;2847;118
1;CY;566;a;223;350;230;NA;2900;110
1;CY;565;a;224;345;219;NA;2915;118
1;CY;550;a;224;351;NA;249;2625;117
1;CY;560;a;226;341;221;NA;2798;117
1;CY;555;a;NA;339;216;NA;2618;NA
2;CZ;59;a;169;252;154;NA;1057;NA
2;CZ;60;a;171;250;157;NA;1108;NA
2;CZ;57;a;172;240;147;157;1099;90
2;CZ;55;a;172;240;147;157;1103;90
2;CZ;63;a;172;246;150;NA;1053;89
2;CZ;65;a;172;250;150;NA;1142;90
2;CZ;61;a;172;251;157;NA;1131;90
2;CZ;69;a;172;251;170;NA;1106;91
2;CZ;62;a;172;253;157;NA;1140;90
2;CZ;70;a;173;241;169;NA;1169;91
2;CZ;68;a;174;255;165;NA;1161;90
2;CZ;81;a;176;250;NA;NA;1178;NA
2;CZ;58;a;NA;242;145;NA;1047;NA
1;DA;643;b;220;310;217;NA;2310;108
1;DA;642;b;220;310;220;NA;2348;NA
1;DA;644;b;220;311;217;NA;2312;109
1;DA;652;b;220;313;218;NA;2326;109
1;DA;647;b;220;320;219;NA;2364;116
1;DA;664;b;221;320;NA;NA;2254;NA
1;DA;645;b;222;313;210;NA;2308;116
1;DA;652;b;222;315;200;NA;2279;113
1;DA;641;b;222;321;215;NA;2301;NA
1;DA;650;b;225;320;215;NA;2330;114
1;DA;639;b;232;328;212;229;2257;104
1;DA;638;b;232;328;212;229;2290;104
1;DA;638;b;232;328;212;229;2333;104
2;DB;591;b;265;359;NA;183;3361;133
1;DC;163;a;200;278;NA;282;1588;95
1;DC;164;a;200;278;NA;282;1588;95
1;DC;168;a;200;280;NA;282;1654;95
1;DC;167;a;200;287;NA;282;1720;95
1;DC;168;a;200;287;NA;282;1730;95
1;DC;170;a;202;NA;NA;282;1782;NA
1;DD;166;a;190;275;162;NA;1516;NA
1;DD;168;a;192;273;160;NA;1538;101
1;DD;172;a;192;276;161;NA;1628;100
1;DD;170;a;193;270;150;NA;1544;100
1;DD;167;a;193;272;157;NA;1506;NA
1;DD;169;a;193;275;160;NA;1547;101
1;DD;177;a;194;280;160;NA;1550;100
1;DD;160;a;196;269;NA;183;1531;102
1;DD;177;a;198;280;155;NA;1588;102
1;DD;163;a;200;270;155;145;1487;98
1;DD;164;a;200;270;155;145;1527;98
1;DD;162;a;200;270;155;145;1535;98
1;DD;165;a;NA;271;155;NA;1498;NA
1;DD;175;a;NA;276;165;NA;1645;100
1;DE;193;a;195;280;185;NA;1625;99
1;DE;184;a;196;280;170;NA;1513;NA
1;DE;189;a;196;280;184;NA;1627;100
1;DE;185;a;196;283;170;NA;1605;101
1;DE;186;a;196;284;170;NA;1623;102
1;DE;177;a;196;284;NA;198;1528;97
1;DE;179;a;197;275;173;157;1556;100
1;DE;180;a;197;275;173;157;1565;100
1;DE;181;a;197;275;173;157;1588;100
1;DE;187;a;198;281;166;NA;1549;99
1;DE;192;a;199;285;185;NA;1926;95
1;DE;205;a;201;285;NA;NA;1692;NA
1;DE;194;a;203;282;180;NA;1637;101
1;DE;183;a;NA;253;151;NA;1179;NA
1;DE;182;a;NA;280;180;NA;1546;NA
1;DF;225;a;203;302;NA;201;1803;99
1;DG;266;a;221;366;NA;239;2355;112
1;DH;291;a;218;320;NA;221;2503;109
1;DH;267;a;218;328;NA;224;2323;112
1;DH;290;a;218;328;NA;234;2508;114
1;DH;276;a;218;330;NA;226;2672;112
1;DH;277;a;218;333;NA;226;2708;112
1;DH;275;a;218;333;NA;229;2601;112
1;DH;285;a;218;333;NA;241;2437;112
1;DH;278;a;218;335;NA;229;2580;112
1;DH;289;a;218;340;NA;229;2474;112
1;DH;269;a;221;320;NA;221;2525;112
1;DH;287;a;221;330;NA;229;2519;109
1;DH;270;a;221;333;NA;231;2700;112
1;DH;281;a;221;335;NA;226;2625;109
1;DH;282;a;221;335;NA;226;2625;109
1;DH;286;a;221;338;NA;229;2541;107
1;DH;288;a;224;328;NA;229;2338;112
1;DH;271;a;224;333;NA;224;2425;112
1;DH;272;a;224;333;NA;226;2265;114
1;DH;284;a;224;335;NA;226;2668;109
1;DH;292;a;224;345;NA;234;2672;112
1;DH;283;a;226;340;NA;236;2651;114
2;DI;312;a;234;356;NA;226;2961;124
2;DI;335;b;226;351;239;NA;2653;NA
2;DI;337;b;NA;NA;NA;208;2630;NA
2;DJ;305;a;267;356;NA;257;3353;127
2;DK;292;a;226;343;NA;231;2450;117
2;DK;320;a;227;335;NA;NA;2554;NA
1;DL;377;a;206;355;237;300;2930;141
1;DL;367;a;213;333;229;224;2727;NA
1;DL;377;a;214;350;227;320;2930;112
1;DL;374;a;220;350;223;300;2945;113
1;DL;373;a;231;348;244;NA;2897;119
2;DM;368;a;259;368;NA;236;3452;119
1;DN;480;a;215;306;191;NA;1963;107
1;DN;478;a;215;308;200;NA;1980;112
1;DN;482;a;215;308;200;NA;2042;108
1;DN;486;a;215;310;200;NA;1976;112
1;DN;479;a;215;310;200;NA;1983;112
1;DN;477;a;215;310;200;NA;2004;NA
1;DN;476;a;215;316;224;NA;1987;NA
1;DN;487;a;217;305;190;NA;2051;103
1;DN;473;a;218;300;192;213;1926;110
1;DN;472;a;218;300;192;213;1959;110
1;DN;474;a;218;300;192;213;1980;110
1;DN;485;a;218;312;205;NA;2291;133
1;DO;505;a;215;310;210;285;2344;111
1;DO;495;a;216;302;201;198;2093;NA
1;DO;501;a;220;317;203;NA;2275;108
1;DO;502;a;220;317;210;280;2362;110
1;DO;505;a;223;320;215;287;2344;113
2;DP;513;a;260;386;NA;274;3767;145
1;DQ;687;b;234;335;NA;216;2451;122
2;DR;583;b;267;376;290;NA;4081;150
2;DR;584;b;267;378;290;NA;4099;150
2;DR;582;b;267;380;293;NA;4189;NA
2;DR;592;b;268;381;270;NA;4136;148
2;DR;581;b;268;381;276;NA;4178;NA
2;DR;588;b;268;382;263;NA;4271;145
2;DR;590;b;268;385;265;NA;4530;145
2;DR;585;b;270;370;277;NA;4028;146
2;DR;603;b;270;389;NA;NA;4070;NA
2;DR;577;b;271;327;248;254;4078;147
2;DR;578;b;271;327;248;254;4231;147
2;DR;579;b;271;327;248;254;4273;147
2;DR;575;b;279;384;NA;287;3993;127
2;DR;592;b;NA;370;270;NA;4171;150
1;DS;539;a;234;348;NA;218;2874;122
1;DT;515;b;193;348;216;229;2814;NA
1;DT;525;b;210;350;225;320;2690;112
1;DT;526;b;221;344;220;320;2690;120
1;DT;522;b;222;360;220;280;2893;120
1;DT;521;b;224;361;226;NA;2805;114
1;DU;597;b;231;348;225;302;2695;111
1;DU;587;b;231;363;224;216;2690;NA
1;DU;598;b;236;342;232;303;2695;108
1;DU;593;b;239;343;218;NA;2729;114
1;DU;594;b;243;343;228;289;2691;118
1;DV;684;b;221;348;NA;249;2741;124
1;DV;683;b;224;356;NA;251;2938;122
1;DV;682;b;226;356;NA;218;2702;127
1;DV;681;b;229;353;NA;259;2716;124
2;DW;595;a;260;387;NA;NA;3365;NA
1;DX;651;b;231;363;NA;226;2928;128
2;DY;615;b;246;362;NA;251;3413;132
1;DZ;732;b;229;353;NA;244;2894;122
1;DZ;728;b;229;356;NA;249;2692;119
1;DZ;724;b;229;371;NA;244;2798;127
1;DZ;710;b;231;345;NA;251;2832;119
1;DZ;712;b;231;351;NA;231;2662;119
1;DZ;710;b;231;351;NA;234;2695;119
1;DZ;707;b;231;351;NA;234;2923;119
1;DZ;731;b;231;351;NA;236;2775;127
1;DZ;723;b;231;351;NA;241;2882;127
1;DZ;730;b;231;351;NA;251;2738;127
1;DZ;709;b;231;356;NA;249;2782;119
1;DZ;715;b;231;361;NA;236;2705;117
1;DZ;724;b;231;363;NA;244;2782;122
1;DZ;725;b;234;345;NA;244;2818;127
1;DZ;716;b;234;356;NA;236;2845;124
1;DZ;722;b;234;363;NA;249;2792;122
1;DZ;727;b;236;340;NA;251;2867;130
1;DZ;717;b;236;345;NA;251;2914;119
1;DZ;729;b;236;351;NA;234;2658;122
1;DZ;719;b;236;368;NA;257;2865;122
1;DZ;721;b;239;363;NA;239;2813;119
1;EA;587;b;226;312;NA;229;2192;114
1;EB;527;b;221;330;229;208;2518;NA
1;EB;534;b;222;347;240;280;2584;115
1;EB;537;b;224;337;240;285;2448;111
1;EB;534;b;224;344;225;NA;2603;120
1;EB;537;b;230;340;288;290;2448;117
2;EC;51;a;160;250;147;NA;1136;NA
2;EC;49;a;160;250;150;170;1108;92
2;EC;47;a;160;250;150;170;1121;92
2;EC;48;a;160;250;150;170;1145;92
2;EC;53;a;161;258;154;NA;1212;98
2;EC;52;a;161;263;156;NA;1213;NA
2;EC;54;a;162;260;154;NA;1204;98
2;EC;55;a;164;261;160;NA;1220;93
2;EC;61;a;170;250;160;NA;1200;93
2;EC;60;a;170;252;170;NA;1350;95
2;EC;57;a;170;258;154;NA;1209;98
2;EC;61;a;171;251;153;NA;1240;95
2;EC;50;a;NA;242;NA;NA;1102;NA
2;ED;57;a;165;234;NA;160;945;86
2;ED;62;a;168;234;NA;165;923;89
2;ED;60;a;168;236;NA;163;886;89
2;ED;59;a;168;239;NA;160;981;86
2;ED;60;a;168;239;NA;165;1021;89
2;ED;67;a;170;246;NA;173;1060;99
2;ED;67;a;170;246;NA;178;1052;89
2;ED;66;a;170;254;NA;180;1058;89
2;ED;69;a;173;259;NA;175;1130;91
2;ED;71;a;175;251;NA;183;1163;91
2;ED;76;a;178;244;NA;188;1161;94
2;ED;72;a;178;254;NA;170;1168;91
2;ED;74;a;178;257;NA;180;1157;91
2;ED;75;a;178;257;NA;183;1152;94
2;ED;78;a;180;254;NA;180;1202;94
2;ED;73;a;180;254;NA;180;1148;97
2;ED;81;a;180;257;NA;188;1263;91
2;ED;79;a;180;264;NA;180;1256;97
2;ED;77;a;183;257;NA;178;1218;94
2;ED;80;a;185;257;NA;185;1274;97
2;ED;82;a;185;262;NA;178;1326;91
1;EE;537;b;220;333;231;317;2740;109
1;EE;534;b;221;330;224;302;2556;135
1;EE;538;b;223;332;236;310;2740;108
1;EE;533;b;224;348;226;NA;2819;119
1;EE;527;b;229;330;211;NA;2736;NA
1;EF;700;b;218;320;NA;226;2293;122
1;EF;705;b;221;315;NA;226;2324;122
1;EF;700;b;221;318;NA;226;2213;117
1;EF;699;b;221;320;NA;224;2283;117
1;EF;688;b;224;310;NA;224;2221;119
1;EF;686;b;224;318;NA;216;2245;119
1;EF;683;b;224;320;NA;231;2162;122
1;EF;703;b;224;320;NA;239;2286;119
1;EF;686;b;224;323;NA;226;2298;119
1;EF;692;b;224;323;NA;229;2320;122
1;EF;685;b;224;323;NA;239;2230;119
1;EF;693;b;224;325;NA;239;2324;119
1;EF;691;b;224;335;NA;231;2302;117
1;EF;707;b;226;315;NA;221;2364;117
1;EF;701;b;226;315;NA;229;2272;122
1;EF;704;b;226;323;NA;229;2292;117
1;EF;706;b;226;323;NA;234;2132;114
1;EF;695;b;226;330;NA;224;2320;119
1;EF;708;b;229;312;NA;226;2219;119
1;EF;698;b;229;323;NA;234;2223;119
1;EF;697;b;234;328;NA;226;2265;117
2;EG;554;a;251;406;300;NA;4016;140
2;EG;558;a;256;416;302;345;4140;137
2;EG;559;a;257;398;305;346;4140;137
2;EG;548;a;259;389;287;244;3948;NA
2;EG;556;a;260;400;289;330;3970;137
2;EH;615;b;249;351;NA;NA;3233;NA
2;EH;587;b;254;353;NA;269;3182;132
1;EI;611;b;229;358;NA;244;2591;127
1;EJ;603;b;221;321;NA;NA;2669;NA
2;EK;548;a;231;328;NA;262;2808;127
2;EK;577;a;235;348;NA;NA;3344;NA
1;EL;591;b;215;318;NA;203;2167;107
2;EM;500;a;226;325;NA;241;2495;119
2;EM;501;a;246;358;NA;262;3295;124
2;EM;499;a;249;338;NA;251;3183;119
2;EM;503;a;249;345;NA;257;3268;130
2;EM;510;a;249;351;NA;259;2968;119
2;EM;509;a;249;351;NA;262;2994;119
2;EM;496;a;249;353;NA;249;3345;122
2;EM;508;a;249;353;NA;267;3150;119
2;EM;494;a;249;356;NA;249;3215;122
2;EM;495;a;249;358;NA;249;3248;122
2;EM;504;a;249;358;NA;267;3323;130
2;EM;485;a;249;361;NA;244;3078;130
2;EM;493;a;249;361;NA;249;3295;124
2;EM;488;a;251;348;NA;226;3177;124
2;EM;488;a;251;351;NA;249;3539;124
2;EM;507;a;251;351;NA;249;3058;130
2;EM;502;a;251;351;NA;251;3276;127
2;EM;487;a;251;353;NA;246;3370;124
2;EM;490;a;251;366;NA;257;3177;124
2;EM;506;a;254;351;NA;264;2975;127
2;EM;505;a;254;361;NA;267;3332;127
1;EN;529;a;221;328;NA;221;2486;109
1;EO;523;b;224;318;180;NA;2124;126
1;EO;524;b;224;320;182;NA;2150;126
1;EO;522;b;224;327;185;NA;2252;NA
1;EO;521;b;227;316;180;NA;2303;NA
1;EO;519;b;227;325;182;196;2280;119
1;EO;518;b;227;325;182;196;2335;119
1;EO;517;b;227;325;182;196;2389;119
1;EO;532;b;228;325;180;NA;2255;120
1;EO;532;b;229;224;180;NA;2203;102
1;EO;525;b;229;316;184;NA;2246;121
1;EO;528;b;230;320;179;NA;2192;115
1;EO;515;b;231;335;NA;221;2321;117
1;EO;530;b;232;325;181;NA;2890;115
1;EP;522;a;237;373;NA;NA;2930;NA
1;EP;501;a;210;304;109;290;2040;108
1;EP;498;a;212;304;181;NA;2097;114
1;EP;492;a;213;295;188;206;2058;NA
1;EP;499;a;215;310;224;290;2120;109
1;EP;502;a;216;310;188;293;2040;110
1;EQ;515;b;226;320;203;NA;2594;NA
1;EQ;517;b;NA;NA;NA;198;2682;NA
2;ER;393;b;245;358;237;327;2982;120
2;ER;390;b;248;369;238;NA;3032;119
2;ER;383;b;249;345;226;239;2991;NA
2;ER;393;b;250;351;240;327;2982;115
2;ER;390;b;250;367;242;320;3100;124
1;ES;455;b;208;335;208;201;2650;NA
1;ES;462;b;208;340;220;290;2583;114
1;ES;461;b;208;345;229;NA;2664;112
1;ES;466;b;210;336;216;290;2540;110
1;ES;465;b;219;335;217;283;2540;112
2;ET;531;b;258;394;NA;NA;3850;NA
1;EU;77;a;175;251;NA;178;1171;91
1;EU;94;a;175;262;155;NA;1251;91
1;EU;87;a;177;260;150;NA;1209;90
1;EU;84;a;179;255;150;NA;1184;NA
1;EU;85;a;179;264;160;NA;1173;91
1;EU;90;a;179;265;160;NA;1275;90
1;EU;86;a;179;266;160;NA;1196;91
1;EU;81;a;180;260;154;188;1143;90
1;EU;80;a;180;260;154;188;1190;90
1;EU;79;a;180;260;154;188;1221;90
1;EU;92;a;180;264;162;NA;1405;90
1;EU;83;a;197;278;181;NA;1526;NA
1;EU;94;a;NA;175;151;NA;1198;93
1;EU;82;a;NA;254;154;NA;1178;NA
2;EV;64;a;177;256;155;160;1238;92
2;EV;63;a;177;256;155;160;1257;92
2;EV;65;a;177;256;155;160;1311;92
2;EV;61;a;180;262;NA;168;1190;91
2;EV;76;a;183;265;165;NA;1431;98
2;EV;67;a;184;268;170;NA;1312;NA
2;EV;69;a;184;271;170;NA;1350;103
2;EV;70;a;185;272;170;NA;1320;104
2;EV;68;a;185;273;169;NA;1320;NA
2;EV;73;a;187;265;158;NA;1373;97
2;EV;71;a;187;276;169;NA;1341;97
2;EV;78;a;190;270;160;NA;1321;100
2;EV;78;a;191;265;165;NA;1438;97
2;EV;66;a;NA;268;NA;NA;1280;NA
2;EW;72;a;185;284;198;NA;1463;NA
2;EW;83;a;186;280;188;NA;1472;100
2;EW;76;a;187;282;185;NA;1490;102
2;EW;78;a;187;285;180;NA;1522;100
2;EW;73;a;187;286;182;NA;1413;NA
2;EW;75;a;187;287;185;NA;1427;101
2;EW;74;a;187;288;185;NA;1429;100
2;EW;83;a;188;284;181;NA;1523;188
2;EW;70;a;189;275;173;145;1448;100
2;EW;68;a;189;275;173;145;1457;100
2;EW;69;a;189;275;173;145;1457;100
2;EW;81;a;190;285;119;NA;1400;100
2;EW;71;a;NA;279;175;NA;1457;NA
1;EX;63;a;165;236;NA;160;975;86
1;EX;66;a;168;229;NA;163;986;89
1;EX;65;a;168;229;NA;168;1002;86
1;EX;66;a;168;236;NA;165;874;89
1;EX;68;a;168;236;NA;170;1093;89
1;EX;72;a;170;241;NA;170;1012;91
1;EX;73;a;170;241;NA;173;1028;91
1;EX;80;a;170;246;NA;173;1119;94
1;EX;74;a;170;246;NA;175;1060;97
1;EX;73;a;170;249;NA;175;1077;97
1;EX;77;a;173;241;NA;175;1102;94
1;EX;81;a;173;241;NA;178;1088;97
1;EX;78;a;173;251;NA;175;1124;94
1;EX;79;a;175;241;NA;165;1114;99
1;EX;88;a;178;244;NA;173;1218;97
1;EX;84;a;178;246;NA;175;1119;94
1;EX;87;a;178;249;NA;178;1221;94
1;EX;81;a;178;251;NA;178;1072;97
1;EX;86;a;180;246;NA;185;1167;97
1;EX;84;a;180;251;NA;173;1136;89
1;EX;83;a;180;254;NA;175;1136;97
2;EY;47;a;168;258;149;NA;1109;NA
2;EY;49;a;170;251;148;NA;1141;90
2;EY;48;a;170;252;147;NA;1099;NA
2;EY;50;a;170;254;149;NA;1149;90
2;EY;44;a;173;250;148;160;1087;91
2;EY;51;a;173;257;145;NA;1164;91
2;EY;58;a;178;260;160;NA;1257;90
2;EY;53;a;180;176;171;NA;1225;90
2;EY;56;a;180;264;178;NA;1235;93
2;EY;58;a;183;270;170;NA;1261;91
2;EY;45;a;NA;NA;NA;160;1051;NA
1;EZ;274;a;205;335;NA;NA;2372;NA
2;FA;246;a;208;302;NA;201;1878;99
2;FB;250;a;244;345;NA;226;2579;122
1;FC;251;a;202;300;215;NA;1735;NA
1;FC;255;a;202;310;204;NA;1779;102
1;FC;248;a;205;247;210;168;1637;105
1;FC;247;a;205;247;210;168;1708;105
1;FC;249;a;205;247;210;168;1725;105
1;FC;261;a;205;303;210;NA;1815;110
1;FC;260;a;205;309;205;NA;1926;110
1;FC;261;a;206;351;205;NA;1777;108
1;FC;273;a;212;314;NA;NA;1918;NA
1;FC;253;a;226;302;191;NA;1742;104
1;FC;254;a;226;303;192;NA;1751;105
1;FC;257;a;226;305;193;NA;1745;104
1;FC;252;a;226;305;194;NA;1796;NA
1;FG;246;a;239;353;NA;254;2965;122
1;FH;236;a;201;297;NA;198;1693;104
1;FH;264;a;202;305;NA;NA;1981;NA
1;FI;417;a;231;356;218;NA;2880;NA
1;FI;419;a;NA;NA;NA;224;2800;NA
1;FJ;149;a;201;300;NA;201;1820;104
1;FJ;152;a;201;302;NA;216;1885;107
1;FJ;152;a;201;305;NA;201;1990;107
1;FJ;150;a;201;307;NA;201;1427;104
1;FJ;158;a;201;312;NA;206;1968;107
1;FJ;154;a;203;297;NA;193;1941;107
1;FJ;168;a;203;307;NA;216;2004;102
1;FJ;159;a;203;312;NA;208;2090;107
1;FJ;174;a;203;318;NA;221;2091;104
1;FJ;163;a;203;325;NA;218;2128;112
1;FJ;170;a;206;305;NA;218;2028;112
1;FJ;159;a;206;315;NA;229;2080;109
1;FJ;164;a;206;318;NA;208;1968;107
1;FJ;165;a;208;302;NA;191;2023;112
1;FJ;166;a;208;305;NA;216;2036;109
1;FJ;173;a;208;310;NA;229;2183;112
1;FJ;161;a;208;323;NA;231;2125;109
1;FJ;167;a;211;272;NA;208;1978;109
