Sex;ID;Age;CaptivityWild;Height;Chest Girth;Neck Circumference;Length;Weight;Foot size
1;NS;84;a;194;292;NA;269;1695;97
1;NS;87;a;200;NA;NA;269;1790;NA
1;NT;74;a;168;232;NA;160;941;81
2;NU;101;a;182;266;167;NA;1421;104
2;NU;99;a;182;271;161;NA;1447;101
2;NU;91;a;183;254;NA;168;1255;97
2;NU;97;a;184;271;160;NA;1400;NA
2;NU;98;a;184;274;163;NA;1411;NA
2;NU;100;a;184;275;163;NA;1449;101
2;NU;108;a;185;272;171;NA;1536;105
2;NU;108;a;186;292;175;NA;1534;105
2;NU;95;a;188;269;170;188;1385;99
2;NU;94;a;188;269;170;188;1386;99
2;NU;94;a;188;269;170;188;1395;99
2;NU;104;a;188;270;162;NA;1447;105
2;NU;119;a;195;290;NA;NA;1699;NA
2;NU;106;a;197;270;169;NA;1525;100
2;NU;96;a;NA;260;165;NA;1413;NA
1;NV;119;a;188;275;181;NA;1501;NA
1;NV;113;a;191;277;NA;193;1426;97
1;NV;123;a;191;278;168;NA;1500;98
1;NV;115;a;192;266;183;173;1446;97
1;NV;116;a;192;266;183;173;1446;97
1;NV;117;a;192;266;183;173;1457;97
1;NV;125;a;193;284;172;NA;1578;99
1;NV;127;a;194;279;168;NA;1514;100
1;NV;129;a;195;280;185;NA;1584;97
1;NV;121;a;196;273;160;NA;1511;100
1;NV;122;a;196;275;162;NA;1515;100
1;NV;120;a;198;273;162;NA;1494;NA
1;NV;129;a;199;290;192;NA;1587;91
1;NV;140;a;202;290;NA;NA;1635;NA
1;NV;118;a;NA;275;161;NA;1433;NA
2;NW;115;a;190;268;165;168;1524;95
2;NW;116;a;190;268;165;168;1524;95
2;NW;117;a;190;268;165;168;1575;95
2;NW;112;a;196;290;NA;188;1505;99
2;NX;93;a;NA;188;NA;178;1475;91
2;NY;104;a;199;290;NA;274;1594;93
2;NY;108;a;199;293;NA;274;1762;93
2;NY;109;a;199;295;NA;274;1650;93
2;NY;105;a;199;296;NA;274;1650;93
2;NY;109;a;199;300;NA;274;1755;93
2;NY;112;a;202;NA;NA;275;1804;NA
1;NZ;92;a;178;257;NA;175;1235;91
2;OA;37;a;175;278;NA;168;1388;94
2;OB;124;a;205;290;NA;286;1900;98
2;OB;125;a;205;292;NA;286;1701;98
2;OB;126;a;205;304;NA;286;1820;98
2;OB;130;a;205;310;NA;286;1920;98
2;OB;129;a;205;324;NA;286;1871;98
2;OB;130;a;205;325;NA;286;1880;98
2;OB;132;a;209;NA;NA;286;1962;NA
2;OC;176;a;229;335;NA;329;2867;123
2;OC;171;a;229;336;NA;329;2764;123
2;OC;175;a;229;336;NA;329;2871;123
2;OC;172;a;229;340;NA;329;3026;123
2;OC;176;a;229;343;NA;329;3040;123
2;OC;178;a;234;NA;NA;329;2920;NA
2;OD;217;a;224;330;NA;NA;2619;NA
1;OE;411;b;187;302;NA;207;1857;102
2;OF;335;a;221;351;NA;218;2505;117
2;OF;363;a;221;355;NA;NA;2634;NA
2;OG;311;a;220;315;NA;224;2304;117
2;OH;360;a;232;345;NA;NA;2839;NA
1;OI;223;a;203;292;NA;201;1795;99
2;OJ;201;b;223;334;226;287;2583;104
2;OJ;191;b;224;330;201;239;2373;NA
2;OJ;197;b;226;340;216;NA;2547;117
2;OJ;198;b;227;345;214;290;2648;116
2;OJ;202;b;229;328;215;310;2583;110
1;OK;395;b;218;325;191;NA;2280;NA
1;OK;397;b;NA;NA;NA;203;2235;NA
2;OL;108;a;203;274;NA;183;1614;94
2;OM;117;a;194;275;NA;267;1366;86
2;OM;122;a;194;275;NA;267;1404;86
2;OM;118;a;194;281;NA;267;2402;86
2;OM;121;a;194;288;NA;267;1583;86
2;OM;122;a;194;291;NA;267;1601;86
2;OM;124;a;198;NA;NA;267;1628;NA
2;ON;178;a;212;310;210;NA;2208;NA
2;ON;179;a;213;311;212;NA;2276;110
2;ON;180;a;213;312;212;NA;2280;111
2;ON;177;a;219;312;210;NA;2200;NA
2;ON;183;a;219;328;213;NA;2450;113
2;ON;173;a;220;300;209;221;2032;108
2;ON;175;a;220;300;209;221;2123;108
2;ON;174;a;220;300;209;221;2142;108
2;ON;185;a;220;336;229;NA;2410;115
2;ON;187;a;223;320;220;NA;2444;120
2;ON;187;a;228;330;230;NA;2464;115
2;ON;181;a;257;317;220;NA;2274;112
2;OP;146;a;226;287;NA;196;1604;104
2;OQ;172;a;203;307;185;NA;1917;105
2;OQ;150;a;203;269;NA;208;1896;108
2;OR;310;a;231;338;NA;226;2550;122
1;OS;225;a;224;330;NA;206;2385;119
2;OT;223;a;224;330;221;213;2433;NA
2;OT;234;a;233;351;217;274;2580;112
2;OT;233;a;234;353;245;275;2580;101
2;OT;229;a;236;343;229;NA;2590;117
2;OT;231;a;236;350;233;264;2520;110
2;OV;385;a;229;330;216;213;2353;NA
2;OV;396;a;229;346;227;305;2734;115
2;OV;392;a;230;330;217;NA;2471;114
2;OV;392;a;234;342;216;312;2632;118
2;OV;395;a;239;343;232;300;2734;113
1;OW;208;a;203;292;NA;192;1713;102
1;OX;243;a;219;312;NA;NA;2169;NA
1;OY;110;a;193;274;169;NA;1459;97
1;OZ;214;a;209;297;NA;276;1892;97
1;OZ;215;a;209;298;NA;276;1754;99
1;OZ;212;a;209;301;NA;276;1790;97
1;OZ;209;a;209;301;NA;276;1950;97
1;OZ;213;a;209;303;NA;276;1780;97
2;PA;399;b;229;312;NA;229;2457;113
2;PB;459;b;229;318;NA;208;2136;109
2;PC;336;a;241;361;NA;231;2905;117
1;PD;304;a;203;292;NA;216;1858;104
2;PE;309;a;243;335;NA;234;2709;122
2;PF;312;a;244;356;NA;244;3046;119
1;PG;343;a;221;310;NA;218;2039;107
2;PH;297;a;244;358;NA;218;3129;119
2;PI;292;a;249;361;NA;274;3274;122
1;PJ;292;a;244;335;NA;221;2465;127
1;PK;293;a;207;305;NA;213;1924;108
2;PL;284;a;218;333;NA;218;2268;107
2;PM;312;a;226;335;NA;NA;2538;NA
1;PN;204;a;224;328;NA;224;2434;112
1;PO;259;a;196;280;NA;NA;2964;NA
2;PP;227;a;223;342;NA;NA;2401;NA
2;PQ;191;a;225;335;NA;216;2575;114
